Transaction_ID,Date,Category,Sub_Category,Amount,Payment_Mode,Merchant,City,Income_or_Expense
T00001,2025-05-17,Investment,SIP,4332,Card,SIP,Hyderabad,Expense
T00002,2024-08-28,Transport,Uber,3243,Auto Debit,Uber,Chennai,Expense
T00003,2025-09-06,Bills,Internet,5025,UPI,Internet,Chennai,Expense
T00004,2024-06-11,Food,Zomato,6956,UPI,Zomato,Bangalore,Expense
T00005,2024-11-05,Freelance,Project Payment,36079,Cash,Project Payment,Hyderabad,Income
T00006,2024-11-26,Shopping,Clothes,2846,Net Banking,Clothes,Mumbai,Expense
T00007,2024-09-23,Bills,Water Bill,8987,Cash,Water Bill,Hyderabad,Expense
T00008,2024-08-17,Bills,Internet,5920,Card,Internet,Mumbai,Expense
T00009,2024-12-25,Transport,Petrol,1980,Auto Debit,Petrol,Delhi,Expense
T00010,2024-01-12,Transport,Uber,9141,Card,Uber,Mumbai,Expense
T00011,2024-01-19,Bills,Electricity,7289,Cash,Electricity,Mumbai,Expense
T00012,2025-12-02,Freelance,Project Payment,16037,Net Banking,Project Payment,Mumbai,Income
T00013,2025-05-14,Entertainment,Movie,2653,Card,Movie,Chennai,Expense
T00014,2025-11-20,Health,Medical,8123,UPI,Medical,Delhi,Expense
T00015,2025-03-21,Transport,Uber,9694,Card,Uber,Bangalore,Expense
T00016,2025-04-16,Investment,Stocks,452,Auto Debit,Stocks,Chennai,Expense
T00017,2024-10-31,Entertainment,Movie,6414,UPI,Movie,Mumbai,Expense
T00018,2025-08-18,Food,Restaurant,1233,Cash,Restaurant,Delhi,Expense
T00019,2024-09-10,Shopping,Flipkart,7847,Auto Debit,Flipkart,Chennai,Expense
T00020,2024-08-25,Food,Restaurant,7105,UPI,Restaurant,Bangalore,Expense
T00021,2025-09-26,Entertainment,OTT Subscription,9711,Auto Debit,OTT Subscription,Bangalore,Expense
T00022,2024-12-07,Bills,Internet,8057,Net Banking,Internet,Mumbai,Expense
T00023,2025-11-22,Shopping,Amazon,2842,Net Banking,Amazon,Delhi,Expense
T00024,2025-08-01,Salary,Bonus,79783,Auto Debit,Bonus,Chennai,Income
T00025,2025-09-01,Salary,Bonus,56206,Net Banking,Bonus,Chennai,Income
T00026,2025-04-20,Health,Pharmacy,948,Auto Debit,Pharmacy,Chennai,Expense
T00027,2024-04-10,Transport,Petrol,3037,Auto Debit,Petrol,Bangalore,Expense
T00028,2024-02-13,Salary,Monthly Salary,10874,Auto Debit,Monthly Salary,Mumbai,Income
T00029,2025-01-05,Investment,Stocks,1698,Net Banking,Stocks,Hyderabad,Expense
T00030,2025-07-19,Salary,Bonus,47581,UPI,Bonus,Bangalore,Income
T00031,2024-03-21,Freelance,Project Payment,45556,Net Banking,Project Payment,Bangalore,Income
T00032,2025-01-28,Salary,Bonus,73055,Cash,Bonus,Hyderabad,Income
T00033,2024-06-14,Transport,Metro,8318,UPI,Metro,Delhi,Expense
T00034,2025-06-09,Food,Restaurant,7644,Card,Restaurant,Bangalore,Expense
T00035,2025-04-15,Entertainment,Movie,6153,Card,Movie,Bangalore,Expense
T00036,2024-08-29,Freelance,Project Payment,70618,Auto Debit,Project Payment,Delhi,Income
T00037,2025-07-31,Entertainment,OTT Subscription,3878,Cash,OTT Subscription,Hyderabad,Expense
T00038,2025-07-12,Shopping,Flipkart,4132,Card,Flipkart,Hyderabad,Expense
T00039,2024-12-26,Food,Groceries,3415,Cash,Groceries,Delhi,Expense
T00040,2024-10-17,Salary,Monthly Salary,65209,Net Banking,Monthly Salary,Mumbai,Income
T00041,2025-10-28,Freelance,Consulting,54731,UPI,Consulting,Hyderabad,Income
T00042,2025-06-06,Shopping,Amazon,7336,UPI,Amazon,Delhi,Expense
T00043,2024-03-17,Bills,Water Bill,8603,Card,Water Bill,Chennai,Expense
T00044,2024-09-17,Investment,Stocks,4522,Net Banking,Stocks,Mumbai,Expense
T00045,2025-07-23,Bills,Internet,8663,Cash,Internet,Hyderabad,Expense
T00046,2025-06-05,Bills,Electricity,6570,Card,Electricity,Delhi,Expense
T00047,2025-09-19,Entertainment,Movie,2487,UPI,Movie,Hyderabad,Expense
T00048,2025-01-25,Shopping,Clothes,9486,Auto Debit,Clothes,Hyderabad,Expense
T00049,2025-10-27,Investment,SIP,3918,Net Banking,SIP,Mumbai,Expense
T00050,2024-10-17,Freelance,Project Payment,40352,Card,Project Payment,Bangalore,Income
T00051,2025-01-22,Health,Medical,8484,Card,Medical,Hyderabad,Expense
T00052,2025-08-03,Investment,SIP,8576,UPI,SIP,Hyderabad,Expense
T00053,2025-08-02,Investment,Stocks,149,Net Banking,Stocks,Chennai,Expense
T00054,2024-04-24,Entertainment,Movie,1047,Auto Debit,Movie,Chennai,Expense
T00055,2024-06-29,Investment,Stocks,1927,UPI,Stocks,Delhi,Expense
T00056,2024-02-20,Bills,Internet,5698,Auto Debit,Internet,Delhi,Expense
T00057,2025-04-08,Salary,Monthly Salary,12278,Card,Monthly Salary,Bangalore,Income
T00058,2024-09-03,Food,Zomato,3642,Card,Zomato,Mumbai,Expense
T00059,2024-11-27,Freelance,Project Payment,52113,Cash,Project Payment,Mumbai,Income
T00060,2024-03-05,Salary,Monthly Salary,38525,Net Banking,Monthly Salary,Hyderabad,Income
T00061,2024-06-22,Bills,Water Bill,1013,Net Banking,Water Bill,Bangalore,Expense
T00062,2025-08-16,Health,Medical,1950,Auto Debit,Medical,Delhi,Expense
T00063,2025-12-17,Health,Pharmacy,6104,Net Banking,Pharmacy,Bangalore,Expense
T00064,2025-06-10,Shopping,Flipkart,6590,Cash,Flipkart,Bangalore,Expense
T00065,2024-12-10,Entertainment,OTT Subscription,2710,Net Banking,OTT Subscription,Mumbai,Expense
T00066,2024-09-14,Shopping,Clothes,4088,Net Banking,Clothes,Mumbai,Expense
T00067,2024-11-24,Freelance,Consulting,59591,Card,Consulting,Delhi,Income
T00068,2025-12-09,Food,Swiggy,1693,Card,Swiggy,Hyderabad,Expense
T00069,2025-10-05,Shopping,Amazon,2893,Net Banking,Amazon,Bangalore,Expense
T00070,2024-02-14,Health,Medical,6064,Auto Debit,Medical,Bangalore,Expense
T00071,2025-04-23,Salary,Monthly Salary,77767,Net Banking,Monthly Salary,Hyderabad,Income
T00072,2025-09-10,Investment,Stocks,408,Card,Stocks,Delhi,Expense
T00073,2024-06-26,Salary,Bonus,69749,Net Banking,Bonus,Chennai,Income
T00074,2024-11-09,Shopping,Flipkart,7755,UPI,Flipkart,Chennai,Expense
T00075,2025-09-17,Transport,Metro,8033,Cash,Metro,Hyderabad,Expense
T00076,2024-11-28,Food,Zomato,9121,UPI,Zomato,Mumbai,Expense
T00077,2025-01-07,Transport,Uber,4085,Auto Debit,Uber,Delhi,Expense
T00078,2024-11-24,Salary,Bonus,11436,Auto Debit,Bonus,Mumbai,Income
T00079,2025-07-31,Food,Zomato,1332,Cash,Zomato,Chennai,Expense
T00080,2025-03-24,Food,Swiggy,6203,Card,Swiggy,Mumbai,Expense
T00081,2025-05-23,Freelance,Project Payment,62246,Auto Debit,Project Payment,Chennai,Income
T00082,2024-11-10,Salary,Bonus,33680,Auto Debit,Bonus,Hyderabad,Income
T00083,2024-01-24,Transport,Uber,2688,Card,Uber,Chennai,Expense
T00084,2025-11-16,Health,Pharmacy,6924,Card,Pharmacy,Bangalore,Expense
T00085,2025-11-15,Food,Groceries,7695,UPI,Groceries,Mumbai,Expense
T00086,2024-02-14,Investment,Stocks,9303,Net Banking,Stocks,Delhi,Expense
T00087,2025-03-15,Entertainment,Movie,9523,Cash,Movie,Delhi,Expense
T00088,2024-07-08,Investment,Stocks,6049,UPI,Stocks,Delhi,Expense
T00089,2024-10-23,Bills,Internet,9202,Auto Debit,Internet,Delhi,Expense
T00090,2024-11-20,Investment,Stocks,9349,Auto Debit,Stocks,Mumbai,Expense
T00091,2024-06-11,Food,Swiggy,4774,Net Banking,Swiggy,Bangalore,Expense
T00092,2025-10-06,Shopping,Clothes,6570,Card,Clothes,Delhi,Expense
T00093,2025-05-26,Health,Medical,3650,Net Banking,Medical,Chennai,Expense
T00094,2024-10-31,Salary,Bonus,28124,UPI,Bonus,Chennai,Income
T00095,2025-03-11,Shopping,Amazon,3405,Card,Amazon,Chennai,Expense
T00096,2024-12-19,Entertainment,OTT Subscription,9402,UPI,OTT Subscription,Chennai,Expense
T00097,2025-02-03,Bills,Electricity,5145,Card,Electricity,Chennai,Expense
T00098,2024-03-31,Transport,Uber,1759,Card,Uber,Bangalore,Expense
T00099,2025-07-27,Entertainment,OTT Subscription,4071,Card,OTT Subscription,Delhi,Expense
T00100,2024-12-15,Investment,Stocks,4195,Cash,Stocks,Bangalore,Expense
T00101,2025-01-23,Entertainment,Movie,996,Cash,Movie,Delhi,Expense
T00102,2024-10-18,Freelance,Project Payment,15533,Card,Project Payment,Chennai,Income
T00103,2024-08-07,Investment,SIP,9949,Auto Debit,SIP,Delhi,Expense
T00104,2024-07-14,Food,Zomato,2510,Net Banking,Zomato,Delhi,Expense
T00105,2025-01-24,Food,Zomato,2402,UPI,Zomato,Chennai,Expense
T00106,2024-12-30,Entertainment,OTT Subscription,3833,Net Banking,OTT Subscription,Bangalore,Expense
T00107,2024-05-30,Salary,Monthly Salary,19174,UPI,Monthly Salary,Delhi,Income
T00108,2024-11-16,Shopping,Amazon,7717,UPI,Amazon,Bangalore,Expense
T00109,2025-02-08,Shopping,Flipkart,3169,Net Banking,Flipkart,Chennai,Expense
T00110,2025-12-15,Transport,Metro,6959,Card,Metro,Bangalore,Expense
T00111,2024-01-03,Investment,Stocks,5712,Cash,Stocks,Bangalore,Expense
T00112,2024-02-22,Bills,Internet,7377,Auto Debit,Internet,Mumbai,Expense
T00113,2024-02-21,Entertainment,OTT Subscription,7944,Auto Debit,OTT Subscription,Chennai,Expense
T00114,2025-03-01,Health,Medical,1771,Auto Debit,Medical,Mumbai,Expense
T00115,2025-05-31,Shopping,Flipkart,3670,Net Banking,Flipkart,Mumbai,Expense
T00116,2024-11-16,Transport,Metro,9488,Card,Metro,Chennai,Expense
T00117,2025-11-19,Freelance,Consulting,18452,Card,Consulting,Hyderabad,Income
T00118,2025-05-05,Transport,Uber,6494,UPI,Uber,Hyderabad,Expense
T00119,2024-07-07,Bills,Internet,2826,Cash,Internet,Delhi,Expense
T00120,2025-07-15,Shopping,Clothes,9967,Cash,Clothes,Bangalore,Expense
T00121,2025-04-04,Investment,SIP,9921,Net Banking,SIP,Chennai,Expense
T00122,2024-05-18,Salary,Bonus,38529,Card,Bonus,Delhi,Income
T00123,2024-05-21,Entertainment,Movie,6394,Cash,Movie,Mumbai,Expense
T00124,2025-07-09,Shopping,Flipkart,795,Auto Debit,Flipkart,Delhi,Expense
T00125,2024-06-08,Transport,Petrol,9632,UPI,Petrol,Chennai,Expense
T00126,2025-12-15,Transport,Uber,900,Net Banking,Uber,Hyderabad,Expense
T00127,2024-07-06,Health,Pharmacy,5757,Cash,Pharmacy,Hyderabad,Expense
T00128,2025-05-07,Health,Pharmacy,8335,Auto Debit,Pharmacy,Delhi,Expense
T00129,2024-12-24,Entertainment,Movie,1889,Card,Movie,Chennai,Expense
T00130,2025-10-10,Investment,SIP,755,Auto Debit,SIP,Hyderabad,Expense
T00131,2025-11-03,Salary,Monthly Salary,14927,Card,Monthly Salary,Delhi,Income
T00132,2024-02-13,Investment,Stocks,4824,Net Banking,Stocks,Hyderabad,Expense
T00133,2025-04-05,Bills,Electricity,7674,Net Banking,Electricity,Chennai,Expense
T00134,2024-07-03,Shopping,Clothes,2443,Cash,Clothes,Hyderabad,Expense
T00135,2025-07-28,Freelance,Consulting,76923,Cash,Consulting,Delhi,Income
T00136,2024-08-07,Investment,SIP,4706,UPI,SIP,Delhi,Expense
T00137,2024-07-26,Bills,Water Bill,576,Net Banking,Water Bill,Mumbai,Expense
T00138,2024-10-30,Freelance,Project Payment,14268,Auto Debit,Project Payment,Delhi,Income
T00139,2025-08-30,Salary,Bonus,55312,Cash,Bonus,Mumbai,Income
T00140,2025-08-17,Salary,Bonus,26260,UPI,Bonus,Mumbai,Income
T00141,2024-11-28,Bills,Water Bill,2967,UPI,Water Bill,Chennai,Expense
T00142,2025-03-24,Investment,Stocks,7662,Net Banking,Stocks,Delhi,Expense
T00143,2024-08-25,Bills,Water Bill,1606,UPI,Water Bill,Delhi,Expense
T00144,2025-12-20,Health,Medical,9642,Card,Medical,Hyderabad,Expense
T00145,2024-01-23,Freelance,Project Payment,51396,Auto Debit,Project Payment,Chennai,Income
T00146,2025-04-30,Salary,Monthly Salary,54172,UPI,Monthly Salary,Mumbai,Income
T00147,2024-09-26,Freelance,Consulting,75123,Auto Debit,Consulting,Bangalore,Income
T00148,2024-07-03,Investment,SIP,9280,Cash,SIP,Chennai,Expense
T00149,2024-11-02,Shopping,Flipkart,550,UPI,Flipkart,Chennai,Expense
T00150,2024-10-24,Transport,Petrol,2728,Cash,Petrol,Delhi,Expense
T00151,2025-01-11,Freelance,Consulting,50005,UPI,Consulting,Hyderabad,Income
T00152,2024-08-30,Transport,Petrol,8710,UPI,Petrol,Delhi,Expense
T00153,2025-06-15,Entertainment,Movie,2752,UPI,Movie,Delhi,Expense
T00154,2025-08-24,Health,Pharmacy,2607,Cash,Pharmacy,Hyderabad,Expense
T00155,2024-10-11,Entertainment,Movie,4406,UPI,Movie,Chennai,Expense
T00156,2025-06-22,Health,Pharmacy,5305,Cash,Pharmacy,Bangalore,Expense
T00157,2025-10-28,Health,Medical,5740,Card,Medical,Delhi,Expense
T00158,2024-07-04,Investment,SIP,2235,Net Banking,SIP,Delhi,Expense
T00159,2024-04-12,Food,Restaurant,6837,Auto Debit,Restaurant,Chennai,Expense
T00160,2024-08-27,Health,Pharmacy,5834,Auto Debit,Pharmacy,Bangalore,Expense
T00161,2025-06-15,Salary,Bonus,35489,Cash,Bonus,Bangalore,Income
T00162,2025-12-02,Freelance,Consulting,50820,Auto Debit,Consulting,Chennai,Income
T00163,2024-01-20,Investment,Stocks,3657,Auto Debit,Stocks,Delhi,Expense
T00164,2025-05-22,Transport,Metro,8882,Card,Metro,Bangalore,Expense
T00165,2024-09-22,Bills,Internet,5821,Auto Debit,Internet,Chennai,Expense
T00166,2024-11-08,Health,Pharmacy,9573,Cash,Pharmacy,Delhi,Expense
T00167,2025-05-23,Transport,Metro,7310,Auto Debit,Metro,Hyderabad,Expense
T00168,2025-04-27,Food,Restaurant,6896,Auto Debit,Restaurant,Mumbai,Expense
T00169,2024-05-21,Health,Medical,8079,Card,Medical,Hyderabad,Expense
T00170,2024-12-12,Food,Restaurant,5632,UPI,Restaurant,Delhi,Expense
T00171,2024-06-20,Transport,Uber,6618,Auto Debit,Uber,Bangalore,Expense
T00172,2024-07-19,Transport,Petrol,4092,Net Banking,Petrol,Bangalore,Expense
T00173,2025-10-11,Freelance,Project Payment,35025,Card,Project Payment,Bangalore,Income
T00174,2025-05-15,Bills,Electricity,1072,Net Banking,Electricity,Delhi,Expense
T00175,2024-01-29,Bills,Electricity,2161,Auto Debit,Electricity,Delhi,Expense
T00176,2024-11-14,Transport,Metro,7207,Auto Debit,Metro,Mumbai,Expense
T00177,2024-09-07,Bills,Internet,1138,Card,Internet,Chennai,Expense
T00178,2025-04-14,Food,Swiggy,5126,Cash,Swiggy,Mumbai,Expense
T00179,2024-05-06,Shopping,Amazon,5626,Auto Debit,Amazon,Hyderabad,Expense
T00180,2024-10-23,Investment,SIP,3114,UPI,SIP,Bangalore,Expense
T00181,2024-04-22,Entertainment,OTT Subscription,7035,Net Banking,OTT Subscription,Mumbai,Expense
T00182,2025-08-30,Investment,SIP,9386,Net Banking,SIP,Hyderabad,Expense
T00183,2024-02-24,Food,Zomato,3763,UPI,Zomato,Bangalore,Expense
T00184,2025-06-14,Entertainment,Movie,8685,Auto Debit,Movie,Mumbai,Expense
T00185,2024-10-13,Freelance,Consulting,28771,Auto Debit,Consulting,Hyderabad,Income
T00186,2024-03-05,Bills,Water Bill,2843,Card,Water Bill,Delhi,Expense
T00187,2025-02-27,Freelance,Consulting,73674,Cash,Consulting,Chennai,Income
T00188,2024-03-25,Food,Zomato,4481,Card,Zomato,Bangalore,Expense
T00189,2024-01-10,Bills,Electricity,5899,Card,Electricity,Mumbai,Expense
T00190,2025-12-13,Shopping,Clothes,793,Cash,Clothes,Delhi,Expense
T00191,2025-10-15,Bills,Electricity,6023,UPI,Electricity,Delhi,Expense
T00192,2024-06-04,Food,Zomato,5711,Auto Debit,Zomato,Bangalore,Expense
T00193,2025-02-22,Shopping,Flipkart,2108,Auto Debit,Flipkart,Delhi,Expense
T00194,2024-07-07,Entertainment,Movie,3334,Cash,Movie,Hyderabad,Expense
T00195,2025-10-31,Investment,SIP,2660,Cash,SIP,Bangalore,Expense
T00196,2024-05-17,Shopping,Amazon,6429,Cash,Amazon,Mumbai,Expense
T00197,2025-11-26,Health,Medical,2967,Net Banking,Medical,Chennai,Expense
T00198,2024-10-24,Bills,Internet,941,Card,Internet,Bangalore,Expense
T00199,2025-02-06,Health,Medical,7103,Net Banking,Medical,Mumbai,Expense
T00200,2025-02-07,Transport,Uber,6447,Cash,Uber,Mumbai,Expense
T00201,2025-05-17,Bills,Water Bill,2352,Net Banking,Water Bill,Delhi,Expense
T00202,2024-01-10,Salary,Monthly Salary,43275,Net Banking,Monthly Salary,Bangalore,Income
T00203,2024-05-03,Freelance,Project Payment,15890,Card,Project Payment,Bangalore,Income
T00204,2024-04-20,Health,Pharmacy,8881,Cash,Pharmacy,Bangalore,Expense
T00205,2024-08-16,Entertainment,OTT Subscription,4618,Card,OTT Subscription,Bangalore,Expense
T00206,2024-06-04,Shopping,Flipkart,2035,Cash,Flipkart,Delhi,Expense
T00207,2025-05-31,Salary,Monthly Salary,52936,Card,Monthly Salary,Mumbai,Income
T00208,2025-04-23,Shopping,Amazon,8841,Net Banking,Amazon,Delhi,Expense
T00209,2024-10-15,Salary,Monthly Salary,74147,Net Banking,Monthly Salary,Bangalore,Income
T00210,2024-10-25,Shopping,Clothes,2916,Cash,Clothes,Chennai,Expense
T00211,2025-04-19,Entertainment,OTT Subscription,1395,Auto Debit,OTT Subscription,Mumbai,Expense
T00212,2024-03-05,Food,Groceries,4866,Cash,Groceries,Hyderabad,Expense
T00213,2025-01-17,Investment,SIP,2255,Card,SIP,Hyderabad,Expense
T00214,2024-02-26,Health,Pharmacy,7114,Cash,Pharmacy,Delhi,Expense
T00215,2025-01-06,Shopping,Flipkart,1683,UPI,Flipkart,Mumbai,Expense
T00216,2024-06-05,Investment,SIP,8920,UPI,SIP,Bangalore,Expense
T00217,2025-02-28,Shopping,Flipkart,2090,Card,Flipkart,Bangalore,Expense
T00218,2025-11-15,Food,Restaurant,6187,Card,Restaurant,Hyderabad,Expense
T00219,2025-06-28,Freelance,Project Payment,78072,Auto Debit,Project Payment,Hyderabad,Income
T00220,2024-08-26,Bills,Electricity,1518,Card,Electricity,Hyderabad,Expense
T00221,2025-11-13,Bills,Water Bill,4397,Card,Water Bill,Delhi,Expense
T00222,2025-11-10,Salary,Monthly Salary,14495,Cash,Monthly Salary,Delhi,Income
T00223,2024-10-07,Shopping,Clothes,2048,Net Banking,Clothes,Delhi,Expense
T00224,2024-04-05,Salary,Monthly Salary,30827,Auto Debit,Monthly Salary,Chennai,Income
T00225,2025-08-11,Salary,Monthly Salary,20417,Net Banking,Monthly Salary,Delhi,Income
T00226,2025-02-13,Freelance,Consulting,43150,Cash,Consulting,Hyderabad,Income
T00227,2024-11-06,Investment,Stocks,2235,Cash,Stocks,Bangalore,Expense
T00228,2025-11-24,Health,Medical,4993,UPI,Medical,Bangalore,Expense
T00229,2024-09-11,Transport,Petrol,3924,Cash,Petrol,Bangalore,Expense
T00230,2025-12-24,Entertainment,OTT Subscription,2290,Cash,OTT Subscription,Hyderabad,Expense
T00231,2024-09-24,Food,Restaurant,5601,Auto Debit,Restaurant,Bangalore,Expense
T00232,2025-09-26,Entertainment,Movie,5403,Card,Movie,Hyderabad,Expense
T00233,2024-12-24,Transport,Metro,8408,Net Banking,Metro,Chennai,Expense
T00234,2024-01-18,Shopping,Clothes,8670,UPI,Clothes,Delhi,Expense
T00235,2025-03-25,Shopping,Amazon,732,Cash,Amazon,Delhi,Expense
T00236,2025-06-03,Entertainment,OTT Subscription,3452,Cash,OTT Subscription,Hyderabad,Expense
T00237,2024-08-19,Transport,Uber,870,Net Banking,Uber,Hyderabad,Expense
T00238,2024-10-08,Entertainment,OTT Subscription,7424,UPI,OTT Subscription,Bangalore,Expense
T00239,2025-10-07,Freelance,Project Payment,43370,Card,Project Payment,Mumbai,Income
T00240,2024-12-08,Food,Restaurant,1530,Net Banking,Restaurant,Chennai,Expense
T00241,2024-02-17,Health,Pharmacy,3599,Net Banking,Pharmacy,Chennai,Expense
T00242,2025-04-24,Investment,Stocks,1337,Net Banking,Stocks,Mumbai,Expense
T00243,2024-07-02,Food,Zomato,9135,Card,Zomato,Hyderabad,Expense
T00244,2024-06-14,Health,Medical,1853,Net Banking,Medical,Delhi,Expense
T00245,2025-07-13,Shopping,Flipkart,5319,UPI,Flipkart,Bangalore,Expense
T00246,2025-04-24,Health,Medical,739,Auto Debit,Medical,Bangalore,Expense
T00247,2024-09-19,Salary,Bonus,49403,Net Banking,Bonus,Delhi,Income
T00248,2024-09-27,Shopping,Flipkart,590,Auto Debit,Flipkart,Mumbai,Expense
T00249,2024-01-11,Health,Medical,9495,Auto Debit,Medical,Chennai,Expense
T00250,2024-12-17,Bills,Electricity,2864,Cash,Electricity,Mumbai,Expense
T00251,2025-03-26,Entertainment,OTT Subscription,964,Card,OTT Subscription,Hyderabad,Expense
T00252,2025-06-13,Investment,Stocks,8646,Net Banking,Stocks,Delhi,Expense
T00253,2024-10-26,Health,Medical,4140,Auto Debit,Medical,Hyderabad,Expense
T00254,2024-11-09,Food,Swiggy,3652,Card,Swiggy,Delhi,Expense
T00255,2025-09-03,Salary,Bonus,13173,Net Banking,Bonus,Bangalore,Income
T00256,2025-11-14,Shopping,Amazon,2311,Card,Amazon,Bangalore,Expense
T00257,2024-01-16,Salary,Bonus,30073,UPI,Bonus,Chennai,Income
T00258,2024-10-24,Investment,SIP,6857,Net Banking,SIP,Delhi,Expense
T00259,2024-10-06,Freelance,Consulting,36585,Auto Debit,Consulting,Chennai,Income
T00260,2025-09-17,Food,Zomato,2777,UPI,Zomato,Chennai,Expense
